--------------------------------
Game: DemonAttack-v0
Mode: train
Using Double DQN: True
--------------------------------
Game setup and ready to go!
{'RIGHT': 26, 'FIRE': 24, 'RIGHTFIRE': 21, 'LEFTFIRE': 17, 'NOOP': 26, 'LEFT': 32}
{'RIGHT': 31, 'FIRE': 22, 'RIGHTFIRE': 26, 'LEFTFIRE': 21, 'NOOP': 18, 'LEFT': 30}
{'RIGHT': 34, 'FIRE': 27, 'RIGHTFIRE': 29, 'LEFTFIRE': 30, 'NOOP': 23, 'LEFT': 27}
{'RIGHT': 21, 'FIRE': 22, 'RIGHTFIRE': 28, 'LEFTFIRE': 19, 'NOOP': 33, 'LEFT': 23}
{'RIGHT': 32, 'FIRE': 30, 'RIGHTFIRE': 30, 'LEFTFIRE': 34, 'NOOP': 26, 'LEFT': 36}
{'RIGHT': 194, 'FIRE': 199, 'RIGHTFIRE': 216, 'LEFTFIRE': 197, 'NOOP': 189, 'LEFT': 197}
{'RIGHT': 75, 'FIRE': 68, 'RIGHTFIRE': 92, 'LEFTFIRE': 73, 'NOOP': 82, 'LEFT': 69}
{'RIGHT': 100, 'FIRE': 110, 'RIGHTFIRE': 97, 'LEFTFIRE': 89, 'NOOP': 86, 'LEFT': 90}
{'RIGHT': 101, 'FIRE': 115, 'RIGHTFIRE': 102, 'LEFTFIRE': 85, 'NOOP': 88, 'LEFT': 105}
{'RIGHT': 32, 'FIRE': 29, 'RIGHTFIRE': 35, 'LEFTFIRE': 32, 'NOOP': 38, 'LEFT': 43}
{'RIGHT': 123, 'FIRE': 103, 'RIGHTFIRE': 103, 'LEFTFIRE': 90, 'NOOP': 103, 'LEFT': 108}
{'RIGHT': 115, 'FIRE': 111, 'RIGHTFIRE': 128, 'LEFTFIRE': 119, 'NOOP': 130, 'LEFT': 121}
{'RIGHT': 20, 'FIRE': 28, 'RIGHTFIRE': 22, 'LEFTFIRE': 17, 'NOOP': 25, 'LEFT': 19}
{'RIGHT': 47, 'FIRE': 44, 'RIGHTFIRE': 41, 'LEFTFIRE': 40, 'NOOP': 39, 'LEFT': 48}
{'RIGHT': 11, 'FIRE': 11, 'RIGHTFIRE': 14, 'LEFTFIRE': 7, 'NOOP': 10, 'LEFT': 6}
{'RIGHT': 26, 'FIRE': 30, 'RIGHTFIRE': 25, 'LEFTFIRE': 23, 'NOOP': 27, 'LEFT': 19}
{'RIGHT': 40, 'FIRE': 32, 'RIGHTFIRE': 30, 'LEFTFIRE': 35, 'NOOP': 19, 'LEFT': 38}
{'RIGHT': 28, 'FIRE': 26, 'RIGHTFIRE': 21, 'LEFTFIRE': 35, 'NOOP': 43, 'LEFT': 32}
{'RIGHT': 19, 'FIRE': 22, 'RIGHTFIRE': 21, 'LEFTFIRE': 30, 'NOOP': 26, 'LEFT': 26}
{'RIGHT': 44, 'FIRE': 38, 'RIGHTFIRE': 39, 'LEFTFIRE': 38, 'NOOP': 45, 'LEFT': 50}
{'RIGHT': 37, 'FIRE': 31, 'RIGHTFIRE': 39, 'LEFTFIRE': 52, 'NOOP': 42, 'LEFT': 39}
{'RIGHT': 25, 'FIRE': 31, 'RIGHTFIRE': 30, 'LEFTFIRE': 33, 'NOOP': 42, 'LEFT': 32}
{'RIGHT': 34, 'FIRE': 26, 'RIGHTFIRE': 28, 'LEFTFIRE': 32, 'NOOP': 32, 'LEFT': 30}
{'RIGHT': 8, 'FIRE': 10, 'RIGHTFIRE': 17, 'LEFTFIRE': 16, 'NOOP': 18, 'LEFT': 19}
{'RIGHT': 48, 'FIRE': 41, 'RIGHTFIRE': 36, 'LEFTFIRE': 33, 'NOOP': 50, 'LEFT': 33}
{'RIGHT': 13, 'FIRE': 17, 'RIGHTFIRE': 15, 'LEFTFIRE': 14, 'NOOP': 15, 'LEFT': 14}
{'RIGHT': 18, 'FIRE': 18, 'RIGHTFIRE': 14, 'LEFTFIRE': 20, 'NOOP': 16, 'LEFT': 20}
{'RIGHT': 29, 'FIRE': 24, 'RIGHTFIRE': 24, 'LEFTFIRE': 33, 'NOOP': 34, 'LEFT': 30}
{'RIGHT': 17, 'FIRE': 13, 'RIGHTFIRE': 20, 'LEFTFIRE': 23, 'NOOP': 10, 'LEFT': 18}
{'RIGHT': 12, 'FIRE': 10, 'RIGHTFIRE': 8, 'LEFTFIRE': 8, 'NOOP': 8, 'LEFT': 8}
Start training!
(Before) Are networks equal: False
Target network updated.
(After) Are networks equal: True
Summary data has been written!!
{'RIGHT': 80, 'FIRE': 78, 'RIGHTFIRE': 76, 'LEFTFIRE': 68, 'NOOP': 74, 'LEFT': 73}
{'RIGHT': 51, 'FIRE': 52, 'RIGHTFIRE': 65, 'LEFTFIRE': 62, 'NOOP': 53, 'LEFT': 69}
{'RIGHT': 92, 'FIRE': 76, 'RIGHTFIRE': 76, 'LEFTFIRE': 83, 'NOOP': 72, 'LEFT': 86}
{'RIGHT': 79, 'FIRE': 91, 'RIGHTFIRE': 95, 'LEFTFIRE': 99, 'NOOP': 88, 'LEFT': 90}
{'RIGHT': 23, 'FIRE': 31, 'RIGHTFIRE': 33, 'LEFTFIRE': 40, 'NOOP': 31, 'LEFT': 21}
{'RIGHT': 8, 'FIRE': 13, 'RIGHTFIRE': 13, 'LEFTFIRE': 13, 'NOOP': 20, 'LEFT': 15}
{'RIGHT': 35, 'FIRE': 33, 'RIGHTFIRE': 38, 'LEFTFIRE': 43, 'NOOP': 42, 'LEFT': 33}
{'RIGHT': 9, 'FIRE': 13, 'RIGHTFIRE': 14, 'LEFTFIRE': 17, 'NOOP': 22, 'LEFT': 16}
{'RIGHT': 51, 'FIRE': 49, 'RIGHTFIRE': 60, 'LEFTFIRE': 75, 'NOOP': 57, 'LEFT': 59}
{'RIGHT': 179, 'FIRE': 169, 'RIGHTFIRE': 169, 'LEFTFIRE': 174, 'NOOP': 179, 'LEFT': 172}
{'RIGHT': 16, 'FIRE': 17, 'RIGHTFIRE': 10, 'LEFTFIRE': 14, 'NOOP': 10, 'LEFT': 20}
Summary data has been written!!
{'RIGHT': 24, 'FIRE': 31, 'RIGHTFIRE': 21, 'LEFTFIRE': 28, 'NOOP': 27, 'LEFT': 30}
{'RIGHT': 25, 'FIRE': 18, 'RIGHTFIRE': 17, 'LEFTFIRE': 29, 'NOOP': 27, 'LEFT': 27}
{'RIGHT': 68, 'FIRE': 72, 'RIGHTFIRE': 62, 'LEFTFIRE': 76, 'NOOP': 72, 'LEFT': 80}
{'RIGHT': 67, 'FIRE': 64, 'RIGHTFIRE': 59, 'LEFTFIRE': 74, 'NOOP': 86, 'LEFT': 80}
